Year,Month,Day,Site,Level,Observer,Transect_type,Transect_number,Transect_section,Depth_m,Lat,Long,Genusspecies,Frequency,Size_cm
2016,5,21,Gavilanes,Mid,Nur A.,algae,1,NA,10,27.855283,-115.075783,Sargassum_muticum,27,Na
2016,5,21,Gavilanes,Mid,Nur A.,algae,1,NA,10,27.855283,-115.075783,Eisenia_arborea,1,Na
2016,5,21,Gavilanes,Mid,Nur A.,algae,2,NA,10,27.855283,-115.075783,Eisenia_arborea,12,Na
2016,5,21,Gavilanes,Mid,Nur A.,algae,2,NA,10,27.855283,-115.075783,Sargassum_muticum,82,Na
2016,5,21,Gavilanes,Mid,Memo T.,inverts,1,0-10,10,27.855283,-115.075783,Lithopoma_spp,2,Na
2016,5,21,Gavilanes,Mid,Memo T.,inverts,1,10-20,10,27.855283,-115.075783,Lithopoma_spp,1,Na
2016,5,21,Gavilanes,Mid,Memo T.,inverts,1,20-30,10,27.855283,-115.075783,Lithopoma_spp,4,Na
2016,5,21,Gavilanes,Mid,Memo T.,inverts,1,0-10,10,27.855283,-115.075783,Muricea_fruticosa,1,Na
2016,5,21,Gavilanes,Mid,Memo T.,inverts,1,20-30,10,27.855283,-115.075783,Panulirus_innterruptus         ,2,Na
2016,5,21,Gavilanes,Mid,Memo T.,inverts,2,0-10,10,27.855283,-115.075783,Lithopoma_spp,3,Na
2016,5,21,Gavilanes,Mid,Memo T.,inverts,2,10-20,10,27.855283,-115.075783,Lithopoma_spp,5,Na
2016,5,21,Gavilanes,Mid,Memo T.,inverts,2,20-30,10,27.855283,-115.075783,Lithopoma_spp,1,Na
2016,5,21,Gavilanes,Mid,Memo T.,upc,1,0-10,10,27.855283,-115.075783,Bedrock_1_m,6,Na
2016,5,21,Gavilanes,Mid,Memo T.,upc,1,0-10,10,27.855283,-115.075783,Sand,4,Na
2016,5,21,Gavilanes,Mid,Memo T.,upc,1,0-10,10,27.855283,-115.075783,Sargassum_muticum,2,Na
2016,5,21,Gavilanes,Mid,Memo T.,upc,1,0-10,10,27.855283,-115.075783,0_10 cm,10,Na
2016,5,21,Gavilanes,Mid,Memo T.,upc,1,0-10,10,27.855283,-115.075783,Bushy_cylindrical_branches,1,Na
