Year,Month,Day,Site,Level,Observer,Transect_type,Transect_number,Transect_section,Depth_m,Lat nort,Long,Genusspecies,Frequency,Size_cm
2016,5,21,Piedra_Blanca,Mid,Memo T. ,algae,1,0-10,10,27.870367,-115.044400,Sargassum_muticum,10,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,algae,1,oct-20,10,27.870367,-115.044400,Sargassum_muticum,10,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,algae,1,20-30,10,27.870367,-115.044400,Sargassum_muticum,10,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,0-10,10,27.870367,-115.044400,Megastrea_undosa,24,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,oct-20,10,27.870367,-115.044400,Megastrea_undosa,2,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,0-10,10,27.870367,-115.044400,Panulirus_innterruptus         ,2,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,oct-20,10,27.870367,-115.044400,Panulirus_innterruptus         ,15,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,20-30,10,27.870367,-115.044400,Panulirus_innterruptus         ,20,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,0-10,10,27.870367,-115.044400,Pacifigorgia_spp,2,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,0-10,10,27.870367,-115.044400,Muricea_californica,5,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,oct-20,10,27.870367,-115.044400,Muricea_californica,4,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,0-10,10,27.870367,-115.044400,Centrostephanus_coronatus,1,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,oct-20,10,27.870367,-115.044400,Centrostephanus_coronatus,6,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,1,20-30,10,27.870367,-115.044400,Centrostephanus_coronatus,5,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,algae,2,0-10,10,27.870367,-115.044400,Sargassum_muticum,3,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,algae,2,oct-20,10,27.870367,-115.044400,Sargassum_muticum,10,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,algae,2,20-30,10,27.870367,-115.044400,Sargassum_muticum,10,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,0-10,10,27.870367,-115.044400,Megastrea_undosa,7,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,oct-20,10,27.870367,-115.044400,Megastrea_undosa,6,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,20-30,10,27.870367,-115.044400,Megastrea_undosa,3,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,0-10,10,27.870367,-115.044400,Panulirus_innterruptus         ,1,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,oct-20,10,27.870367,-115.044400,Panulirus_innterruptus         ,10,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,20-30,10,27.870367,-115.044400,Panulirus_innterruptus         ,10,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,20-30,10,27.870367,-115.044400,Lophogorgia_chilensis,3,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,0-10,10,27.870367,-115.044400,Muricea_californica,5,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,oct-20,10,27.870367,-115.044400,Muricea_californica,4,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,20-30,10,27.870367,-115.044400,Muricea_californica,2,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,0-10,10,27.870367,-115.044400,Centrostephanus_coronatus,2,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,oct-20,10,27.870367,-115.044400,Centrostephanus_coronatus,6,Na
2016,5,21,Piedra_Blanca,Mid,Memo T. ,inverts,2,20-30,10,27.870367,-115.044400,Centrostephanus_coronatus,4,Na
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Semicossyphus_pulcher,1,40
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Semicossyphus_pulcher,3,30
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Semicossyphus_pulcher,5,10
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Paralabrax_clathratus,4,15
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Paralabrax_clathratus,9,20
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Paralabrax_clathratus,6,25
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Paralabrax_clathratus,2,30
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Paralabrax_clathratus,1,5
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Paralabrax_clathratus,3,10
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Anisotremus_davidsonii,22,10
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Anisotremus_davidsonii,5,15
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Anisotremus_davidsonii,4,20
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Anisotremus_davidsonii,3,10
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Chromis_punctipinnis,135,5
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Chromis_punctipinnis,10,10
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Chromis_punctipinnis,31,15
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Chromis_punctipinnis,16,10
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Chromis_punctipinnis,1,20
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Halichoeres_semicinctus,4,10
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Halichoeres_semicinctus,5,15
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Hypsypops_rubicundus,5,10
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Hypsypops_rubicundus,1,20
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Hypsypops_rubicundus,2,15
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Oxyjulis_californica,70,25
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Caulolatilus_princeps,3,20
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,1,Na,10,27.870367,-115.044400,Caulolatilus_princeps,2,15
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,2,Na,10,27.870367,-115.044400,Caulolatilus_princeps,2,20
2016,5,21,Piedra_Blanca,Mid,Ainoa V. ,fish,2,Na,10,27.870367,-115.044400,Semicossyphus_pulcher,2,10
